,index,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website
115,258,Granite Gorge,https://www.skiresort.info/ski-resort/granite-gorge/,30.0,Keene,New Hampshire,6.0,3.0,2.0,1.0,"{-72.21227645874,42.970994351276985}",New Hampshire,
116,259,Bryce Resort,https://www.skiresort.info/ski-resort/bryce-resort/,Empty,Harrisonburg,Virginia,5.0,2.0,2.8,0.2,"{-78.76661840483877,38.81363279112901}",Virginia,http://www.bryceresort.com/Home.aspx
117,262,Pajarito Mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,49.0,Los Alamos,New Mexico,26.0,8.0,12.0,6.0,"{-106.39205836478088,35.89077152616687}",New Mexico,Unknown
118,263,Pajarito Mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,49.0,Los Alamos,New Mexico,26.0,8.0,12.0,6.0,"{-106.39027777777997,35.89416666666698}",New Mexico,Unknown
119,264,Mont Ripley,https://www.skiresort.info/ski-resort/mont-ripley/,52.0,Hancock,Michigan,6.9,2.0,2.2,2.7,"{-88.55979878571426,47.1300279}",Michigan,
120,269,Mt. Brighton,https://www.skiresort.info/ski-resort/mt-brighton/,59.0,Brighton,Michigan,6.2,1.0,3.5,1.7,"{-83.8089685705089,42.53943325248633}",Michigan,Unknown
121,274,Wilmot Mountain,https://www.skiresort.info/ski-resort/wilmot-mountain/,68.0,Wilmot,Wisconsin,4.0,1.4,1.6,1.0,"{-88.19061113611112,42.497832860185184}",Wisconsin,Unknown
122,275,Moose Mountain,https://www.skiresort.info/ski-resort/moose-mountain/,40.0,Fairbanks,Alaska,25.0,3.0,12.0,10.0,"{-147.97399520873995,64.944268838489}",Alaska,http://www.shredthemoose.com
123,276,Moose Mountain,https://www.skiresort.info/ski-resort/moose-mountain/,40.0,Fairbanks,Alaska,25.0,3.0,12.0,10.0,"{-71.07935428619398,43.539091555952986}",New Hampshire,
124,282,Snow Creek,https://www.skiresort.info/ski-resort/snow-creek/,47.0,Weston,Missouri,3.2,1.3,1.8,0.1,"{-94.96950136046512,39.465580605813955}",Missouri,Unknown
